transect,ac_erect_single,ag_articulated_calcareous,ag_corticated_foliose,ag_corticated_macrophyte,cca_crustose,cy_filamentous,hc_arborescent,hc_bushy,hc_column,hc_encrusting,hc_foliose,hc_massive,hc_table,oc_arborescent,oc_bushy,oc_cluster,oc_digitate,oc_encrusting,oc_lobate,oc_massive,sg,sp_encrusting,sp_massive,sp_repent,turf_filamentous,zo_encrusting,zo_massive
Dongsha_SouthOuterAtoll_20m_T1,0,0,0.015012836,0,5.855702878,0.003690321,0,0.539853336,0.101166333,5.14668174,0.029621467,0.192214092,0.143673336,0,0,0,0.015961649,0,0.014436036,0.098539415,0,0.015007423,0.004638956,0.015619987,5.966798289,0.01613461,0
Dongsha_SouthOuterAtoll_20m_T2,0,0,0.030828172,0.001049741,5.595401154,0.024194453,0,0.418876981,0.054195928,5.857975812,0.041562992,0.351951814,1.442486245,0,0,0.034715177,0.095570364,0,0,0.011129496,0,0.046567556,0.003957353,0.012012753,5.342815135,0.025528764,0
Dongsha_SouthOuterAtoll_20m_T3,0,0,0.054543475,0.005351012,3.887689389,0,1.683973199,0.892378891,0.036916147,6.076608535,0.153486116,0.259459117,1.128335255,0,0.011791176,0,0.036806026,0,0.010849893,0,0,0.089665452,0,0,5.158936341,0,0
Dongsha_SouthOuterAtoll_20m_T4,0,0,0,0,5.497307217,0.007549545,0,0.371726217,0.102104562,5.292520463,0,0.164684049,0.38410032,0,0.038622577,0,0.15712727,0,0,0.036424288,0,0.024242843,0,0.033140879,6.469266797,0.03459205,0
Dongsha_SouthOuterAtoll_20m_T5,0.005387883,0,0,0,8.057099088,0,0,0.363132598,0.192905069,4.787435399,0.010409925,0.139078852,0.095295379,0,0.039511537,0.005521014,0.007520826,0,0,0,0,0.007304939,0.005407572,0.006769646,6.205232351,0.033939566,0
Dongsha_SouthwestOuterAtoll_10m_T1,0.001636653,0,0,0,4.088220682,0,0.149774546,1.141273409,0.028266018,4.332788453,0.030659375,0.208812966,4.067195234,0,0,0,0.040809514,0,0,0.008197335,0,0,0,0,4.076020675,0.009562249,0.007935371
Dongsha_SouthwestOuterAtoll_10m_T2,0.002501416,0,0,0,3.292935731,0,0.161670311,0.867288428,0.102887744,5.592694268,0.005883226,0.158979502,4.621864214,0,0,0.007367028,0.086314829,0,0,0,0,0,0,0,3.174154935,0.035057324,0.005159273
Dongsha_SouthwestOuterAtoll_10m_T3,0,0,0,0,3.45240817,0.00932518,0.208179087,0.770725408,0.14626875,6.804574254,0.060302608,0.388303433,2.40617499,0.008493903,0.044366107,0.006274993,0.252805703,0,0,0,0.006149796,0.02786039,0,0.031317576,3.667008287,0.011490983,0
Dongsha_SouthwestOuterAtoll_10m_T4,0,0,0.009323613,0,3.753581872,0,0,1.633359783,0.054644679,7.199331266,0.03469713,0.194280043,2.446610068,0,0.101874048,0.068198145,0.601979606,0,0.025497752,0.038329117,0,0.008309531,0,0.041023898,3.271977371,0.051571223,0
Dongsha_SouthwestOuterAtoll_10m_T5,0,0,0,0.003173415,3.856914642,0.004871589,0,2.643139534,0.030123702,4.46079771,0.070115739,0.342736456,3.665378438,0,0.001492014,0,0.13150105,0,0.027323933,0.033534335,0,0.003901598,0,0,3.82545276,0,0
